Year,Weather Station,Wind Turbine,Type of Energy,PB_PN,PB_PND,PB_PNC,PB_PNDC,ROI_PN,ROI_PNC,TIR_PN,TIR_PNC,COE_PN,COE_PNC,NPC_PN,NPC_PNC,,
,,,,Years,Years,Years,Years,(%),(%),(%),(%),($/kWh),($/kWh),($),($),,
2020,MERRA-2,ENAIR200L,GMDTH,5.840967463,6.757711755,5.267675551,6.032314596,17.12045147,18.98370525,16.2824794,18.3281327,-0.052393703,-0.062393703,-583759.0998,-695176.898,,
2021,MERRA-2,ENAIR200L,GMDTH,5.942726573,6.886469492,5.350298327,6.136858766,16.82729279,18.69054656,15.95603395,18.00931243,-0.050820333,-0.060820333,-566228.9621,-677646.7603,,
2022,MERRA-2,ENAIR200L,GMDTH,5.553707591,6.394236375,5.03290433,5.706975101,18.0059894,19.86924317,17.26061664,19.28519238,-0.057146345,-0.067146345,-636711.9972,-748129.7953,,
2018,ERA5,ENAIR200L,GMDTH,9.295270552,11.82329055,8.058893579,9.887523115,10.75815916,12.40865127,8.747398072,10.81829051,-0.020599821,-0.030599821,-203310.3328,-302005.5289,,
2019,ERA5,ENAIR200L,GMDTH,6.64708514,7.848816094,5.989932002,6.946199419,15.04418823,16.69468033,13.93746917,15.80790404,-0.046568009,-0.056568009,-459603.8814,-558299.0775,,
2020,ERA5,ENAIR200L,GMDTH,6.707069853,7.927751884,6.038599005,7.048089851,14.90964045,16.56013256,13.7825657,15.65731083,-0.045752811,-0.055752811,-451558.2695,-550253.4656,,
2021,ERA5,ENAIR200L,GMDTH,6.821619174,8.121630615,6.131294924,7.170071358,14.65927626,16.30976837,13.49323802,15.37625887,-0.044235905,-0.054235905,-436587.1326,-535282.3287,,
2022,ERA5,ENAIR200L,GMDTH,6.372572927,7.48757675,5.766101242,6.662982101,15.69224882,17.34274093,14.67817456,16.5291063,-0.050494478,-0.060494478,-498356.2432,-597051.4393,,
2018,WTK,ENAIR200L,GMDTH,7.171143497,8.599978786,6.251179143,7.327830811,13.94477743,15.99698196,12.65927637,15.0235578,-0.032095253,-0.042095253,-393861.9349,-516578.5039,,
2019,WTK,ENAIR200L,GMDTH,5.208032716,5.92004556,4.705148839,5.308210431,19.20110826,21.25331279,18.56390761,20.76511398,-0.057708347,-0.067708347,-708177.0407,-830893.6097,,
2020,WTK,ENAIR200L,GMDTH,5.261313141,6.024264117,4.748593678,5.361067721,19.0066619,21.05886643,18.35305539,20.55826108,-0.056760848,-0.066760848,-696549.6468,-819266.2158,,
2021,WTK,ENAIR200L,GMDTH,5.341245708,6.125404314,4.813610086,5.440170122,18.72222427,20.7744288,18.04381335,20.25507826,-0.055374837,-0.065374837,-679541.0058,-802257.5749,,
2022,WTK,ENAIR200L,GMDTH,5.005499936,5.673633465,4.539217462,5.10632954,19.97802443,22.03022896,19.4021767,21.58848561,-0.061494111,-0.071494111,-754634.6356,-877351.2046,,
